Truck (25, 20, 18) results:
     x   y   z  length  width  height  x2  y2  z2  value  weight  itemid
0   13   8   9      12     12       9  25  20  18      1     207       2
1    0  17   0      13      3      18  13  20  18      1      76       4
2   18   5   9       7      3       2  25   8  11      1     170       6
3   13   8   0       7     12       9  20  20   9      1     180      10
4    0   0  12      24      8       6  24   8  18      1     119      12
5    0   8   0      13      9      18  13  17  18      1      57      13
6   18   2   0       7      3      11  25   5  11      1      55      16
7    0   0   1       3      8      10   3   8  11      1     219       7
8   20   5   0       4     13       8  24  18   8      1      72       8
9    3   2   0      15      6      12  18   8  12      1      95       9
10   3   0   1      22      2      11  25   2  12      1      59      14

